iteration	BTN	SB	BB
100000	1197.72	-9267.61	8069.89
200000	1263.35	-9324.96	8061.62
300000	1197.88	-9390.35	8192.47
400000	1233.69	-9347.33	8113.64
500000	1180.80	-9332.11	8151.30
600000	1189.84	-9322.23	8132.39
700000	1264.18	-9311.29	8047.12
800000	1198.06	-9350.62	8152.56
900000	1278.97	-9354.68	8075.71
1000000	1343.70	-9371.00	8027.29
1100000	1303.96	-9385.07	8081.12
1200000	1304.53	-9380.22	8075.69
1300000	1253.84	-9292.19	8038.35
1400000	1298.51	-9299.40	8000.89
1500000	1281.82	-9346.54	8064.72
1600000	1283.91	-9338.20	8054.29
1700000	1219.37	-9329.54	8110.17
1800000	1263.64	-9414.18	8150.53
1900000	1287.00	-9375.05	8088.05
2000000	1263.80	-9447.75	8183.95
2100000	1216.88	-9369.18	8152.30
2200000	1215.26	-9422.21	8206.95
2300000	1207.42	-9379.26	8171.83
2400000	1122.51	-9331.41	8208.90
2500000	1134.76	-9407.16	8272.40
2600000	1198.34	-9366.78	8168.44
2700000	1156.75	-9404.84	8248.09
2800000	1214.34	-9442.87	8228.53
2900000	1196.35	-9449.51	8253.16
3000000	1198.73	-9460.14	8261.40
3100000	1228.05	-9432.89	8204.83
3200000	1119.61	-9427.69	8308.09
3300000	1169.51	-9431.83	8262.32
3400000	1167.80	-9464.31	8296.51
3500000	1180.04	-9497.84	8317.80
3600000	1116.38	-9443.83	8327.45
3700000	1140.25	-9450.35	8310.10
3800000	1159.95	-9493.31	8333.36
3900000	1191.87	-9524.52	8332.65
4000000	1116.30	-9434.95	8318.65
4100000	1122.00	-9534.75	8412.75
4200000	1183.42	-9546.39	8362.98
4300000	1186.61	-9495.02	8308.41
4400000	1159.21	-9452.65	8293.44
4500000	1095.13	-9475.05	8379.93
4600000	1115.60	-9441.36	8325.76
4700000	1112.24	-9479.73	8367.49
4800000	1107.16	-9457.54	8350.38
4900000	1067.93	-9465.21	8397.28
5000000	1065.85	-9446.79	8380.94
