iteration	BTN	SB	BB
50000	2314.07	145.85	-2459.92
100000	2369.35	57.09	-2426.44
150000	2343.97	10.25	-2354.22
200000	2451.00	-5.44	-2445.56
250000	2432.81	-2.71	-2430.10
300000	2480.03	-39.96	-2440.07
350000	2458.95	-15.93	-2443.02
400000	2482.61	-10.08	-2472.53
450000	2472.88	-18.58	-2454.31
500000	2488.94	-31.93	-2457.01
550000	2506.29	-19.26	-2487.03
600000	2494.97	-27.04	-2467.93
650000	2496.91	-31.20	-2465.71
700000	2490.03	-38.83	-2451.20
750000	2563.92	-62.88	-2501.04
800000	2489.94	-24.50	-2465.44
850000	2476.69	-47.79	-2428.90
900000	2539.33	-25.26	-2514.08
950000	2477.45	-30.15	-2447.31
1000000	2442.75	-40.94	-2401.81
1050000	2451.64	-25.88	-2425.76
1100000	2421.63	-53.54	-2368.09
1150000	2503.27	-48.46	-2454.81
1200000	2455.00	-39.74	-2415.26
1250000	2461.79	-40.85	-2420.94
1300000	2425.65	-37.22	-2388.43
1350000	2457.80	-50.75	-2407.05
1400000	2430.24	-37.67	-2392.57
1450000	2403.14	-34.39	-2368.75
1500000	2406.75	-61.56	-2345.19
1550000	2431.48	-47.62	-2383.85
1600000	2496.01	-83.20	-2412.81
1650000	2419.93	-53.74	-2366.19
1700000	2426.51	-59.36	-2367.16
1750000	2449.83	-66.23	-2383.60
1800000	2466.74	-52.66	-2414.07
1850000	2403.79	-65.18	-2338.61
1900000	2421.81	-59.74	-2362.07
1950000	2439.74	-59.68	-2380.06
2000000	2421.74	-81.38	-2340.36
2050000	2406.73	-65.54	-2341.19
2100000	2350.85	-52.59	-2298.26
2150000	2377.93	-62.73	-2315.20
2200000	2395.99	-52.17	-2343.82
2250000	2342.89	-62.87	-2280.02
2300000	2369.29	-56.27	-2313.01
2350000	2365.49	-57.60	-2307.89
2400000	2397.19	-64.05	-2333.14
2450000	2384.71	-67.97	-2316.74
2500000	2396.37	-59.63	-2336.74
2550000	2387.29	-77.57	-2309.72
2600000	2412.82	-61.58	-2351.24
2650000	2386.81	-59.06	-2327.75
2700000	2402.56	-64.25	-2338.31
2750000	2431.77	-64.79	-2366.98
2800000	2367.65	-60.51	-2307.14
2850000	2389.09	-76.45	-2312.64
2900000	2376.63	-73.45	-2303.18
2950000	2378.52	-82.20	-2296.31
3000000	2404.11	-72.10	-2332.01
3050000	2386.37	-88.37	-2298.00
3100000	2374.50	-66.61	-2307.90
3150000	2404.81	-74.03	-2330.78
3200000	2400.62	-72.92	-2327.70
3250000	2430.97	-78.20	-2352.77
3300000	2458.29	-82.01	-2376.28
3350000	2442.61	-96.79	-2345.81
3400000	2426.15	-99.76	-2326.39
3450000	2433.50	-81.22	-2352.27
3500000	2426.55	-91.95	-2334.59
3550000	2406.81	-74.03	-2332.77
3600000	2435.04	-70.98	-2364.06
3650000	2449.17	-94.43	-2354.74
3700000	2498.46	-103.77	-2394.69
3750000	2475.51	-70.46	-2405.05
3800000	2403.31	-80.72	-2322.60
3850000	2430.16	-92.32	-2337.84
3900000	2459.24	-78.59	-2380.64
3950000	2491.37	-94.40	-2396.98
4000000	2427.55	-69.30	-2358.25
4050000	2471.64	-92.26	-2379.38
4100000	2449.24	-94.00	-2355.24
4150000	2453.05	-78.74	-2374.31
4200000	2441.05	-97.03	-2344.02
4250000	2416.06	-89.42	-2326.64
4300000	2461.64	-105.02	-2356.62
4350000	2447.91	-87.09	-2360.82
4400000	2443.56	-87.85	-2355.70
4450000	2465.58	-72.88	-2392.70
4500000	2460.28	-81.73	-2378.54
4550000	2451.29	-89.28	-2362.01
4600000	2504.55	-80.66	-2423.89
4650000	2458.46	-85.34	-2373.12
4700000	2478.99	-100.25	-2378.74
4750000	2475.91	-90.50	-2385.41
4800000	2491.22	-104.13	-2387.09
4850000	2500.48	-88.88	-2411.60
4900000	2506.77	-111.73	-2395.04
4950000	2483.87	-80.96	-2402.91
5000000	2466.36	-94.96	-2371.40
