iteration	BTN	SB	BB
50000	498.94	-13155.71	12656.77
100000	429.06	-13102.45	12673.39
150000	273.79	-12934.81	12661.02
200000	268.88	-12996.25	12727.36
250000	265.25	-12974.90	12709.65
300000	263.02	-12988.97	12725.94
350000	269.19	-12994.17	12724.98
400000	275.82	-12951.00	12675.18
450000	267.03	-13041.29	12774.26
500000	267.62	-12979.60	12711.97
550000	262.01	-13049.86	12787.85
600000	275.27	-12970.95	12695.68
650000	264.55	-13013.42	12748.87
700000	268.64	-12943.39	12674.74
750000	260.21	-13057.50	12797.30
800000	263.66	-13037.30	12773.65
850000	273.85	-12944.86	12671.01
900000	261.20	-13018.56	12757.36
950000	268.16	-13037.80	12769.64
1000000	260.86	-13003.47	12742.61
1050000	264.44	-13019.07	12754.64
1100000	261.90	-13007.90	12746.00
1150000	266.59	-13001.71	12735.12
1200000	260.10	-12988.20	12728.10
1250000	263.45	-13003.95	12740.50
1300000	262.91	-13051.61	12788.70
1350000	261.56	-13029.84	12768.28
1400000	266.96	-12958.44	12691.48
1450000	269.97	-12984.71	12714.74
1500000	270.46	-13015.46	12744.99
1550000	263.08	-12973.77	12710.69
1600000	271.65	-12998.40	12726.75
1650000	268.32	-12988.93	12720.61
1700000	268.37	-12987.87	12719.50
1750000	261.16	-13067.82	12806.66
1800000	268.80	-12996.44	12727.63
1850000	273.80	-12985.66	12711.86
1900000	266.52	-13063.43	12796.91
1950000	264.04	-12976.75	12712.70
2000000	268.94	-12969.57	12700.63
2050000	261.35	-13041.73	12780.38
2100000	262.91	-13001.07	12738.16
2150000	270.02	-12995.90	12725.88
2200000	264.66	-12988.35	12723.69
2250000	258.96	-13001.44	12742.49
2300000	261.59	-13057.91	12796.31
2350000	270.85	-12974.90	12704.05
2400000	257.35	-12993.19	12735.84
2450000	261.28	-13011.86	12750.58
2500000	270.96	-12975.00	12704.04
2550000	266.37	-12988.78	12722.41
2600000	264.93	-13030.38	12765.45
2650000	258.75	-12995.21	12736.46
2700000	270.53	-12971.45	12700.92
2750000	268.75	-12970.76	12702.02
2800000	272.61	-12998.02	12725.41
2850000	264.34	-13010.80	12746.45
2900000	266.31	-13012.29	12745.98
2950000	264.95	-12999.68	12734.73
3000000	262.08	-12993.20	12731.12
3050000	265.42	-13016.92	12751.51
3100000	268.92	-12989.07	12720.15
3150000	269.11	-12953.49	12684.37
3200000	266.21	-12994.86	12728.64
3250000	268.30	-13020.99	12752.70
3300000	266.00	-13008.21	12742.21
3350000	259.95	-13021.86	12761.91
3400000	267.60	-12958.51	12690.91
3450000	266.94	-12982.55	12715.61
3500000	260.11	-12991.00	12730.89
3550000	268.78	-13027.07	12758.29
3600000	256.86	-13027.57	12770.71
3650000	262.05	-13041.55	12779.49
3700000	266.75	-13026.65	12759.89
3750000	266.43	-13016.78	12750.35
3800000	261.24	-13026.30	12765.06
3850000	263.59	-13036.49	12772.91
3900000	257.92	-13053.13	12795.21
3950000	261.76	-12995.03	12733.27
4000000	257.07	-13071.83	12814.76
4050000	269.14	-12993.08	12723.94
4100000	264.16	-12971.45	12707.29
4150000	270.23	-13007.42	12737.19
4200000	263.89	-13034.18	12770.29
4250000	262.05	-13011.62	12749.57
4300000	263.95	-12983.14	12719.19
4350000	262.74	-13035.38	12772.64
4400000	263.91	-12967.77	12703.86
4450000	265.44	-13043.13	12777.68
4500000	259.20	-12969.25	12710.05
4550000	264.38	-12999.92	12735.54
4600000	259.18	-13075.69	12816.52
4650000	257.31	-13029.35	12772.04
4700000	265.44	-12978.58	12713.14
4750000	262.36	-13031.11	12768.75
4800000	264.64	-13036.57	12771.93
4850000	259.76	-13007.57	12747.81
4900000	261.34	-13016.34	12755.00
4950000	270.27	-12952.76	12682.49
5000000	269.49	-13033.16	12763.66
